date,page_url,page_title,organic_sessions,organic_users,bounce_rate,avg_session_duration_sec,conversions,search_engine
2025-11-02,/,X9Elysium — Shopify Plus Consulting,35,31,0.396,226.1,0,Google
2025-11-02,/services,"Services — Shopify Plus, Hydrogen, B2B",18,16,0.405,130.1,0,Google
2025-11-02,/work,Case Studies — X9Elysium,8,6,0.666,221.1,0,Google
2025-11-02,/about,About X9Elysium — Founder-led Shopify Plus Consulting,4,3,0.561,90.4,0,Google
2025-11-02,/contact,Contact X9Elysium,4,3,0.347,218.5,0,Google
2025-11-02,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,3,2,0.578,239.8,0,Google
2025-11-02,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,2,1,0.696,194.5,0,Google
2025-11-02,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,3,2,0.394,150.7,0,Google
2025-11-02,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,4,3,0.653,152.4,0,Google
2025-11-02,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,5,4,0.581,52.4,0,Google
2025-11-02,/blog/markets-guide,Shopify Markets — Multi-Region Setup,4,3,0.537,86.6,0,Google
2025-11-02,/blog/woo-to-shopify,WooCommerce → Shopify Migration,5,4,0.467,188.8,0,Google
2025-11-02,/locations/toronto,Shopify Plus Consultant Toronto,5,4,0.512,209.5,0,Google
2025-11-02,/locations/calgary,Shopify Plus Consultant Calgary,6,4,0.456,178.8,0,Google
2025-11-02,/locations/vancouver,Shopify Plus Consultant Vancouver,4,3,0.388,185.3,0,Google
2025-11-02,/platforms/odoo,Odoo Implementation Partner,3,2,0.343,44.1,0,Google
2025-11-02,/platforms/woocommerce,WooCommerce Development,1,1,0.425,199.6,0,Google
2025-11-03,/,X9Elysium — Shopify Plus Consulting,48,39,0.549,190.9,0,Google
2025-11-03,/services,"Services — Shopify Plus, Hydrogen, B2B",10,9,0.383,59.4,0,Google
2025-11-03,/work,Case Studies — X9Elysium,1,1,0.594,42.0,0,Google
2025-11-03,/about,About X9Elysium — Founder-led Shopify Plus Consulting,16,14,0.372,133.8,0,Google
2025-11-03,/contact,Contact X9Elysium,8,7,0.594,74.5,0,Google
2025-11-03,/foundation,Foundation — Vasudhaiva Kutumbakam,7,6,0.498,157.4,0,Google
2025-11-03,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,9,7,0.637,138.7,0,Google
2025-11-03,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,6,5,0.342,197.8,0,Google
2025-11-03,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,2,1,0.351,62.1,0,Google
2025-11-03,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,5,4,0.35,49.3,0,Google
2025-11-03,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,11,9,0.495,188.8,0,Google
2025-11-03,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,5,4,0.67,141.2,0,Google
2025-11-03,/blog/checkout-extensions,Shopify Checkout Extensions Explained,7,5,0.426,200.1,0,Google
2025-11-03,/blog/markets-guide,Shopify Markets — Multi-Region Setup,3,2,0.683,81.7,0,Google
2025-11-03,/locations/toronto,Shopify Plus Consultant Toronto,5,4,0.445,125.1,0,Google
2025-11-03,/locations/calgary,Shopify Plus Consultant Calgary,11,8,0.399,48.6,0,Google
2025-11-03,/locations/vancouver,Shopify Plus Consultant Vancouver,8,7,0.415,237.1,0,Google
2025-11-03,/platforms/odoo,Odoo Implementation Partner,13,11,0.355,167.7,0,Google
2025-11-03,/platforms/woocommerce,WooCommerce Development,4,3,0.679,110.4,0,Google
2025-11-04,/,X9Elysium — Shopify Plus Consulting,54,49,0.681,84.0,0,Google
2025-11-04,/services,"Services — Shopify Plus, Hydrogen, B2B",25,19,0.498,236.3,1,Google
2025-11-04,/work,Case Studies — X9Elysium,21,18,0.475,167.3,0,Google
2025-11-04,/about,About X9Elysium — Founder-led Shopify Plus Consulting,11,10,0.444,152.7,0,Google
2025-11-04,/contact,Contact X9Elysium,12,10,0.399,122.5,0,Google
2025-11-04,/foundation,Foundation — Vasudhaiva Kutumbakam,1,1,0.584,45.4,0,Google
2025-11-04,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,13,10,0.572,221.1,0,Google
2025-11-04,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,6,5,0.498,223.7,0,Google
2025-11-04,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,12,10,0.684,205.6,0,Google
2025-11-04,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,8,6,0.347,30.8,0,Google
2025-11-04,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,3,2,0.531,176.5,0,Google
2025-11-04,/blog/checkout-extensions,Shopify Checkout Extensions Explained,3,2,0.56,51.9,0,Google
2025-11-04,/blog/markets-guide,Shopify Markets — Multi-Region Setup,9,7,0.604,231.9,0,Google
