invoice_id,client_name,client_email,project,issue_date,due_date,payment_terms,currency,subtotal,tax_rate,tax_amount,total,status,paid_date,paid_amount,payment_method,notes
INV-2026-0001,Vesper Home,billing@vesperhome.com,Headless POC,2025-11-03,2025-11-18,Net 15,USD,28000,0.0,0.0,28000.0,Paid,2025-11-05,28000.0,Wise,
INV-2026-0002,Atlas Outdoors,accounts@atlasoutdoors.us,B2B Portal Build,2025-11-07,2025-11-07,Due on Receipt,USD,42000,0.0,0.0,42000.0,Overdue,,,,
INV-2026-0003,Wildline Apparel,billing@wildline.co,Replatform Discovery,2025-11-25,2025-12-25,Net 30,USD,18000,0.0,0.0,18000.0,Paid,2025-12-15,18000.0,Bank Transfer,
INV-2026-0004,Riverstone Bakery,ap@riverstonebakery.ca,Theme Customization,2025-11-25,2025-12-10,Net 15,CAD,28000,0.13,3640.0,31640.0,Overdue,,,,
INV-2026-0005,Boreal Provisions,billing@boreal.ca,Markets US Setup,2025-11-27,2025-12-27,Net 30,USD,42000,0.0,0.0,42000.0,Partial,2025-12-09,27824.83,Wise,
INV-2026-0006,Maple Lane Beauty,ap@maplelane.ca,Subscription LTV Audit,2025-12-05,2025-12-20,Net 15,USD,35000,0.0,0.0,35000.0,Paid,2025-12-23,35000.0,Bank Transfer,
INV-2026-0007,Solace Linens,finance@solacelinens.com,B2B Wholesale Build,2025-12-11,2026-02-09,Net 60,CAD,18000,0.13,2340.0,20340.0,Paid,2026-01-25,20340.0,Wise,
INV-2026-0008,Maple Lane Beauty,ap@maplelane.ca,Subscription LTV Audit,2025-12-12,2026-01-11,Net 30,USD,8500,0.0,0.0,8500.0,Paid,2025-12-26,8500.0,Bank Transfer,
INV-2026-0009,Tidewater Goods,billing@tidewater.co,Markets Rollout — US/UK,2025-12-14,2026-01-13,Net 30,USD,15000,0.0,0.0,15000.0,Overdue,,,,
INV-2026-0010,Wildline Apparel,billing@wildline.co,Replatform Discovery,2025-12-22,2026-01-21,Net 30,USD,6000,0.0,0.0,6000.0,Paid,2025-12-25,6000.0,Wise,
