expense_id,date,vendor,category,subcategory,amount_usd,currency,payment_method,recurring,billable_to_client,client,receipt_url,notes
EXP-0001,2025-11-08,Plus Partner Coaching,Education,Training,417.37,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-6610/view,
EXP-0002,2025-11-11,WestJet,Travel,Client visit — Calgary,510.68,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-6784/view,
EXP-0003,2025-11-13,Wise,Banking,Transfer fees,11.6,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-6345/view,
EXP-0004,2025-11-13,Plus Partner Coaching,Education,Training,364.36,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-4982/view,
EXP-0005,2025-11-20,MacBook accessories,Office,Equipment,257.2,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-4370/view,
EXP-0006,2025-11-27,Books — strategy / craft,Education,Books,75.48,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-4242/view,
EXP-0007,2025-11-28,Stripe,Banking,Processing fees,43.65,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-7820/view,
EXP-0008,2025-11-29,Domain renewals,Hosting,Domains,92.58,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-2872/view,
EXP-0009,2025-12-01,Anthropic — Claude API,Software/SaaS,AI,182.97,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1966/view,
EXP-0010,2025-12-01,Cloudflare,Hosting,Workers + DNS,24.67,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3401/view,
EXP-0011,2025-12-01,Hostinger,Hosting,Domain + legacy,10.23,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3516/view,
EXP-0012,2025-12-01,Tableau Cloud,Software/SaaS,Analytics,87.57,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8233/view,
EXP-0013,2025-12-01,Figma,Software/SaaS,Design,32.24,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-7531/view,
EXP-0014,2025-12-01,Notion,Software/SaaS,Docs,21.07,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-5365/view,
EXP-0015,2025-12-01,LinkedIn Sales Navigator,Marketing,Outbound,104.47,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-8868/view,
EXP-0016,2025-12-01,Google Workspace,Software/SaaS,Email + Drive,25.19,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-7230/view,
EXP-0017,2025-12-01,Adobe Creative Cloud,Software/SaaS,Design,60.07,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1733/view,
EXP-0018,2025-12-01,LinkedIn Premium,Marketing,Personal brand,41.83,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1466/view,
EXP-0019,2025-12-01,Ahrefs,Software/SaaS,SEO,204.2,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4959/view,
EXP-0020,2025-12-01,GitHub,Software/SaaS,Code hosting,4.18,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1478/view,
EXP-0021,2025-12-01,Vercel,Hosting,Preview deploys,19.0,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-6193/view,
EXP-0022,2025-12-01,Loom,Software/SaaS,Video,17.31,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-4195/view,
EXP-0023,2025-12-01,Calendly,Software/SaaS,Scheduling,12.43,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8242/view,
EXP-0024,2025-12-01,Apple iCloud+,Software/SaaS,Storage,10.25,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3544/view,
