date,keyword,page_url,position,search_volume,difficulty,search_engine,country,intent,position_change
2025-11-02,shopify plus consultant canada,/,40.7,480,32,Google,Canada,commercial,
2025-11-09,shopify plus consultant canada,/,40.8,480,32,Google,Canada,commercial,-0.1
2025-11-16,shopify plus consultant canada,/,43.9,480,32,Google,Canada,commercial,-3.1
2025-11-23,shopify plus consultant canada,/,39.2,480,32,Google,United States,commercial,4.7
2025-11-30,shopify plus consultant canada,/,38.6,480,32,Google,Canada,commercial,0.6
2025-12-07,shopify plus consultant canada,/,37.4,480,32,Google,United States,commercial,1.2
2025-12-14,shopify plus consultant canada,/,40.2,480,32,Google,Canada,commercial,-2.8
2025-12-21,shopify plus consultant canada,/,38.7,480,32,Google,Canada,commercial,1.5
2025-12-28,shopify plus consultant canada,/,34.5,480,32,Google,Canada,commercial,4.2
2026-01-04,shopify plus consultant canada,/,35.1,480,32,Google,United States,commercial,-0.6
2026-01-11,shopify plus consultant canada,/,31.8,480,32,Google,Canada,commercial,3.3
2026-01-18,shopify plus consultant canada,/,35.7,480,32,Google,Canada,commercial,-3.9
2026-01-25,shopify plus consultant canada,/,29.2,480,32,Google,Canada,commercial,6.5
2026-02-01,shopify plus consultant canada,/,33.8,480,32,Google,Canada,commercial,-4.6
2026-02-08,shopify plus consultant canada,/,33.0,480,32,Google,Canada,commercial,0.8
2026-02-15,shopify plus consultant canada,/,29.7,480,32,Google,United States,commercial,3.3
2026-02-22,shopify plus consultant canada,/,29.5,480,32,Google,Canada,commercial,0.2
2026-03-01,shopify plus consultant canada,/,32.1,480,32,Google,United States,commercial,-2.6
2026-03-08,shopify plus consultant canada,/,28.2,480,32,Google,United States,commercial,3.9
2026-03-15,shopify plus consultant canada,/,26.4,480,32,Google,Canada,commercial,1.8
2026-03-22,shopify plus consultant canada,/,27.2,480,32,Google,Canada,commercial,-0.8
2026-03-29,shopify plus consultant canada,/,27.1,480,32,Google,United States,commercial,0.1
2026-04-05,shopify plus consultant canada,/,22.8,480,32,Google,United States,commercial,4.3
2026-04-12,shopify plus consultant canada,/,20.2,480,32,Google,Canada,commercial,2.6
2026-04-19,shopify plus consultant canada,/,20.2,480,32,Google,United States,commercial,0.0
2026-04-26,shopify plus consultant canada,/,22.3,480,32,Google,Canada,commercial,-2.1
2025-11-02,shopify plus agency toronto,/locations/toronto,48.4,320,38,Google,United States,commercial,
2025-11-09,shopify plus agency toronto,/locations/toronto,49.0,320,38,Google,United States,commercial,-0.6
2025-11-16,shopify plus agency toronto,/locations/toronto,50.9,320,38,Google,Canada,commercial,-1.9
2025-11-23,shopify plus agency toronto,/locations/toronto,47.9,320,38,Google,United States,commercial,3.0
2025-11-30,shopify plus agency toronto,/locations/toronto,46.4,320,38,Google,Canada,commercial,1.5
2025-12-07,shopify plus agency toronto,/locations/toronto,49.2,320,38,Google,Canada,commercial,-2.8
2025-12-14,shopify plus agency toronto,/locations/toronto,48.2,320,38,Google,Canada,commercial,1.0
2025-12-21,shopify plus agency toronto,/locations/toronto,49.6,320,38,Google,Canada,commercial,-1.4
2025-12-28,shopify plus agency toronto,/locations/toronto,50.6,320,38,Google,Canada,commercial,-1.0
2026-01-04,shopify plus agency toronto,/locations/toronto,47.7,320,38,Google,United States,commercial,2.9
2026-01-11,shopify plus agency toronto,/locations/toronto,45.0,320,38,Google,Canada,commercial,2.7
2026-01-18,shopify plus agency toronto,/locations/toronto,46.8,320,38,Google,United States,commercial,-1.8
2026-01-25,shopify plus agency toronto,/locations/toronto,44.5,320,38,Google,United States,commercial,2.3
2026-02-01,shopify plus agency toronto,/locations/toronto,45.6,320,38,Google,Canada,commercial,-1.1
2026-02-08,shopify plus agency toronto,/locations/toronto,43.4,320,38,Google,Canada,commercial,2.2
2026-02-15,shopify plus agency toronto,/locations/toronto,42.7,320,38,Google,Canada,commercial,0.7
2026-02-22,shopify plus agency toronto,/locations/toronto,44.7,320,38,Google,Canada,commercial,-2.0
2026-03-01,shopify plus agency toronto,/locations/toronto,43.2,320,38,Google,United States,commercial,1.5
2026-03-08,shopify plus agency toronto,/locations/toronto,43.6,320,38,Google,United States,commercial,-0.4
